File,Subject Class URI,Subject Class Name,Predicate,Object Class URI,Object Class Name
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_ca54593a_6828_491b_8fda_22b0ad85e446,ElectricMobilityUnit,equivalentClass,Complex class expression,,Complex class expression
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/OrganicPolymer,organic polymer,subClassOf,http://semanticscience.org/resource/OrganicMolecule,organic molecule,"An organic molecule is a molecule composed of organic atoms (at least carbon, hydrogen, and optionally oxygen, phosphorus, nitrogen, sulfur)"
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/OrganicPolymer,organic polymer,equivalentClass,Complex class expression,Intersection of organic molecule and Restriction on has direct part some monomer and Restriction on has direct part some organic submolecule,Complex class expression
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/OrganicPolymer,organic polymer,equivalentClass,Complex class expression,Intersection of organic molecule and Restriction on has direct part some monomer and Restriction on has direct part some organic submolecule,Complex class expression
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/SequenceElementPosition,sequence element position,subClassOf,http://semanticscience.org/resource/LinearPosition,linear position,A linear position is the position of some object against a linear positioning system.
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_3086e6a8_edd9_4592_b33c_66d818835951,Flanging,subClassOf,https://w3id.org/emmo#EMMO_78284835_f4ed_4a7c_914f_a7fdb460ed8e,FormingJoin,
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/Gene-diseaseAssociationLinkedWithAlteredGeneExpression,gene-disease association linked with altered gene expression,subClassOf,http://semanticscience.org/resource/Gene-diseaseBiomarkerAssociation,gene-disease biomarker association,A gene-disease association in which the gene/protein is involved in the etiology or maintenance of the disease.
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_16f2fe60_2db7_43ca_8fee_5b3e416bfe87,MassConcentration,subClassOf,https://w3id.org/emmo#EMMO_06448f64_8db6_4304_8b2c_e785dba82044,MassConcentration,Quantity representing the spatial distribution of mass in a continuous material.
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_16f2fe60_2db7_43ca_8fee_5b3e416bfe87,MassConcentration,subClassOf,https://w3id.org/emmo#EMMO_a293f923_954c_4af5_9f97_9600ebd362cb,ChemicalCompositionQuantity,
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_16f2fe60_2db7_43ca_8fee_5b3e416bfe87,MassConcentration,subClassOf,https://w3id.org/emmo#EMMO_a356870d_409a_4de6_a910_0d8498e593ff,Concentration,
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_f6d0c26a_98b6_4cf8_8632_aa259131faaa,MathematicalOperator,subClassOf,https://w3id.org/emmo#EMMO_54ee6b5e_5261_44a8_86eb_5717e7fdb9d0,Mathematical,"A mathematical object in this branch is not representing a concept but an actual graphical object built using mathematcal symbols arranged in some way, according to math conventions."
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_f6d0c26a_98b6_4cf8_8632_aa259131faaa,MathematicalOperator,subClassOf,https://w3id.org/emmo#EMMO_a1083d0a_c1fb_471f_8e20_a98f881ad527,AlphabeticEntity,
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/Nullizygous,nullizygous,subClassOf,http://semanticscience.org/resource/Zygosity,zygosity,zygosity is the quality pertaining to the allelic complement of a biological system at a single locus on the DNA.
../Ontologies/materialsmine_converted.ttl,http://materialsmine.org/ns/Air,Air,subClassOf,http://materialsmine.org/ns/AmbientCondition,Ambient Condition,Ambient conditions
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/ToIonize,to ionize,subClassOf,http://semanticscience.org/resource/ToModifyElectronically,to modify electronically,to modify electronically is the capability to change the electronic properties of an object.
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/Inhibitor,inhibitor,subClassOf,http://semanticscience.org/resource/MolecularRegulator,molecular regulator,A molecular regulator is a molecule that regulates the function of another chemical entity.
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/FirstName,first name,subClassOf,http://semanticscience.org/resource/Name,name,A name is a label used to identify an entity.
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/AminoAcidResidue,amino acid residue,subClassOf,http://semanticscience.org/resource/AminoAcidPolymerSubmolecule,amino acid polymer submolecule,An amino acid polymer submolecule is a submolecule of an amino acid polymer.
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/UndergraduateStudentAdvisorRole,undergraduate student advisor role,subClassOf,http://semanticscience.org/resource/StudentAdvisorRole,student advisor role,A student advisor role is the role of an individual employed at an academic organization that is involved in advising students.
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/Curved,curved,subClassOf,http://semanticscience.org/resource/Curvature,curvature,"curvature is a quality of a bearer that relates to the presence of curves, bends, or angles."
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/Boxplot,boxplot,subClassOf,http://semanticscience.org/resource/Line-barGraph,line-bar graph,A line-bar graph statistical graph that contains both lines and bars.
../Ontologies/materialsmine_converted.ttl,http://materialsmine.org/ns/Isotactic,Isotactic,subClassOf,http://materialsmine.org/ns/Tacticity,Tacticity,the relative stereochemistry of adjacent chiral centers within a macromolecule.
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_18448443_dcf1_49b8_a321_cf46e2c393e1,MassFractionUnit,subClassOf,https://w3id.org/emmo#EMMO_c2f5ee66_579c_44c6_a2e9_fa2eaa9fa4da,RatioUnit,"Quantities that are ratios of quantities of the same kind (for example length ratios and amount fractions) have the option of being expressed with units (m/m, mol/mol to aid the understanding of the quantity being expressed and also allow the use of SI prefixes, if this
is desirable (μm/m, nmol/mol).
-- SI Brochure"
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/Newspaper,newspaper,subClassOf,http://semanticscience.org/resource/Periodical,periodical,A periodical is a publication that appears on a regular schedule.
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_d46e131b_f51a_4ae7_9301_824d718c56fa,ForcePerLengthUnit,subClassOf,https://w3id.org/emmo#EMMO_9895a1b4_f0a5_4167_ac5e_97db40b8bfcc,SIDimensionalUnit,
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_d46e131b_f51a_4ae7_9301_824d718c56fa,ForcePerLengthUnit,equivalentClass,Complex class expression,,Complex class expression
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/MajorTickMark,major tick mark,subClassOf,http://semanticscience.org/resource/TickMark,tick mark,"A tick mark is a line segment that is spatially positioned perpendicular to the axis of a statistical graph and indicates the position of a specific numeric value (which may be indicated by an adjacent value label) on a value axis, or is one of a pair of tick marks that delineates the boundary of a categorical value (which may be indicated by an adjacent category label) on the categorical axis."
../Ontologies/materialsmine_converted.ttl,http://materialsmine.org/ns/PlateRheometery,Plate Rheometry,subClassOf,http://materialsmine.org/ns/Rheometery,Rheometry,Measurement of the quantitative and qualitative relationships between deformations and stresses and their derivatives
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/EmptySet,empty set,subClassOf,http://semanticscience.org/resource/Set,set,"A set is a collection of entities, for which there may be zero members."
../Ontologies/materialsmine_converted.ttl,http://purl.org/ontology/bibo/AcademicArticle,Academic Article,subClassOf,http://purl.org/ontology/bibo/Article,Article,"A written composition in prose, usually nonfiction, on a specific topic, forming an independent part of a book or other publication, as a newspaper or magazine."
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/AminoAcidPolymerSubmolecule,amino acid polymer submolecule,subClassOf,http://semanticscience.org/resource/OrganicSubmolecule,organic submolecule,An organic submolecule is connected region of a molecule.
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_d69d2e95_b22f_499a_a552_17fde0d778fc,LiquidFoam,subClassOf,https://w3id.org/emmo#EMMO_1f5e3e7e_72c9_40d4_91dd_ae432d7b7018,Foam,
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_d69d2e95_b22f_499a_a552_17fde0d778fc,LiquidFoam,subClassOf,https://w3id.org/emmo#EMMO_7509da43_56b1_4d7f_887a_65d1663df4ba,Liquid,
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/CovalentBond,covalent bond,subClassOf,http://semanticscience.org/resource/StrongSubmolecularComponent,strong submolecular component,A strong submolecular component is a submolecular component that strongly connects submolecular components.
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/PolarCoordinateSystem,polar coordinate system,subClassOf,http://semanticscience.org/resource/CoordinateSystem,coordinate system,"A coordinate system is a specification for spatial location that uses a set of numbers, or coordinates, to uniquely determine the position of a point or other geometric element."
../Ontologies/materialsmine_converted.ttl,http://materialsmine.org/ns/PubChemReference,PubChem Reference,subClassOf,http://semanticscience.org/resource/Reference,reference,A reference is a textual entity that describes a single source used in the preparation or development of the work.
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/MagnesiumAtom,magnesium atom,subClassOf,http://semanticscience.org/resource/Atom,atom,An atom is composed of a core of protons and/or neutrons which may be surrounded by a cloud of electrons.
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_ecc4efe9_77a2_47e3_8190_f9a883d54ac6,ChemicalRepresentation,subClassOf,https://w3id.org/emmo#EMMO_eb7de1a1_c30e_4f0d_94c6_fe70414d7e61,Representation,
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_8cf32f24_ada1_4350_af2c_50eb0e5f6415,MagneticPotentialUnit,subClassOf,https://w3id.org/emmo#EMMO_9895a1b4_f0a5_4167_ac5e_97db40b8bfcc,SIDimensionalUnit,
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_8cf32f24_ada1_4350_af2c_50eb0e5f6415,MagneticPotentialUnit,equivalentClass,Complex class expression,,Complex class expression
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/Worry,worry,subClassOf,http://semanticscience.org/resource/Apprehension,apprehension,apprehension is the negative emotion that something unpleasant will occur.
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/PoisonRole,poison role,subClassOf,http://semanticscience.org/resource/ToxicRole,toxic role,A toxic role is the role of a chemical substance that is poisonous.
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_2d66cf6d_9396_40c8_bb82_324ab19067ce,AmountPerMassPressureUnit,subClassOf,https://w3id.org/emmo#EMMO_9895a1b4_f0a5_4167_ac5e_97db40b8bfcc,SIDimensionalUnit,
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_2d66cf6d_9396_40c8_bb82_324ab19067ce,AmountPerMassPressureUnit,equivalentClass,Complex class expression,,Complex class expression
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_8f171308_f902_42c5_ac1d_d5259022e9c1,MassFractionOfDryMatter,subClassOf,https://w3id.org/emmo#EMMO_7c055d65_2929_40e1_af4f_4bf10995ad50,MassFraction,Mass of a constituent divided by the total mass of all constituents in the mixture.
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_8f171308_f902_42c5_ac1d_d5259022e9c1,MassFractionOfDryMatter,subClassOf,https://w3id.org/emmo#EMMO_dae32a4a_d8da_4047_81b0_36a9713fdce1,ThermodynamicalQuantity,
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/SodiumAtom,sodium atom,subClassOf,http://semanticscience.org/resource/Atom,atom,An atom is composed of a core of protons and/or neutrons which may be surrounded by a cloud of electrons.
../Ontologies/materialsmine_converted.ttl,http://materialsmine.org/ns/PolymerMixture,Polymer,subClassOf,http://semanticscience.org/resource/Polymer,Polymer,A polymer is a molecule composed of a connected set of monomeric residues.
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_5d34ae8e_182c_49f3_815e_ea675faaaf30,NeutronYieldPerFission,subClassOf,https://w3id.org/emmo#EMMO_3b1b64d1_60c9_4689_a300_eb9cd56e368b,AtomicAndNuclearPhysicsQuantity,
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_5d34ae8e_182c_49f3_815e_ea675faaaf30,NeutronYieldPerFission,subClassOf,https://w3id.org/emmo#EMMO_ba882f34_0d71_4e4f_9d92_0c076c633a2c,PureNumberQuantity,"According to the SI brochure counting does not automatically qualify a quantity as an amount of substance.

This quantity is used only to describe the outcome of a counting process, without regard of the type of entities.

There are also some quantities that cannot be described in terms of the seven base quantities of the SI, but have the nature of a count. Examples are a number of molecules, a number of cellular or biomolecular entities (for example copies of a particular nucleic acid sequence), or degeneracy in quantum mechanics. Counting quantities are also quantities with the associated unit one."
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_8f36559a_a494_4b00_abc5_60bbc1475009,ElectricChargeDensityUnit,subClassOf,https://w3id.org/emmo#EMMO_9895a1b4_f0a5_4167_ac5e_97db40b8bfcc,SIDimensionalUnit,
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_8f36559a_a494_4b00_abc5_60bbc1475009,ElectricChargeDensityUnit,equivalentClass,Complex class expression,,Complex class expression
../Ontologies/materialsmine_converted.ttl,http://purl.org/ontology/bibo/Email,EMail,subClassOf,http://purl.org/ontology/bibo/PersonalCommunicationDocument,Personal Communication Document,A personal communication manifested in some document.
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_376d013c_b703_40dc_bd8d_23145dfed2e3,MeanMassRange,subClassOf,https://w3id.org/emmo#EMMO_2946d40b_24a1_47fa_8176_e3f79bb45064,ISQDerivedQuantity,
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_376d013c_b703_40dc_bd8d_23145dfed2e3,MeanMassRange,subClassOf,https://w3id.org/emmo#EMMO_3b1b64d1_60c9_4689_a300_eb9cd56e368b,AtomicAndNuclearPhysicsQuantity,
../Ontologies/materialsmine_converted.ttl,http://materialsmine.org/ns/SampleShape,Sample Shape,subClassOf,http://semanticscience.org/resource/Shape,shape,shape is the quality of a bearer that relates to its spatial extent.
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/ToConformationallyActivate,to conformationally activate,subClassOf,http://semanticscience.org/resource/ToModifyConformationOf,to modify conformation of,to modify conformation of is to affect the spatial arrangement of an entity.
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/AuthorSection,author section,subClassOf,http://semanticscience.org/resource/DocumentSection,document section,A document section is a component of a document.
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/Opinion,opinion,subClassOf,http://semanticscience.org/resource/Belief,belief,A belief is a proposition that is believed to be true.
../Ontologies/materialsmine_converted.ttl,http://materialsmine.org/ns/GlassTransitionTemperature,Glass Transition Temperature,subClassOf,http://materialsmine.org/ns/ThermalProperty,Thermal Property,"A material's property describing the materials ability to absorb, conduct, or otherwise interact with energy in the form of heat."
../Ontologies/materialsmine_converted.ttl,http://materialsmine.org/ns/GlassTransitionTemperature,Glass Transition Temperature,subClassOf,obo:PATO_0000146,Temperature,The average kinetic energy of all constituents within a materials system
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/PartialPositiveCharge,partial positive charge,subClassOf,http://semanticscience.org/resource/PartialCharge,partial charge,The quality of having a charge that is not a full multiple of 1 unit charge.
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_5a2af26d_99de_4e5e_b1cd_514be71420c3,Smoke,subClassOf,https://w3id.org/emmo#EMMO_96c8d72f_b436_44e2_9f7f_085c24094292,SolidAerosol,
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_71b7346e_5a4a_4b2b_8ac5_d41ecc9c7bfd,ProductionEngineering,subClassOf,https://w3id.org/emmo#EMMO_592b1d98_4736_4cac_9b62_849b8dbe11c7,ProcessEngineeringProcess,
../Ontologies/materialsmine_converted.ttl,http://materialsmine.org/ns/CapillarySize,Capillar Size,subClassOf,http://semanticscience.org/resource/Parameter,parameter,A parameter is variable whose value changes the characteristics of a system or a function.
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/VisualLanguageEntity,visual language entity,subClassOf,http://semanticscience.org/resource/LanguageEntity,language entity,A language entity implements some language specification for the visual interpretation and is part of some document.
../Ontologies/materialsmine_converted.ttl,http://materialsmine.org/ns/PreLoad,Pre-Load,subClassOf,http://materialsmine.org/ns/Condition,Condition,"Description of the material's environment (e.g., during characterization) The approximation, such as Plane Stress or Plane Strain, used to calculate the stress state of the material. see Condition"
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#Hertz,Hertz,subClassOf,https://w3id.org/emmo#EMMO_515b5579_d526_4842_9e6f_ecc34db6f368,FrequencyUnit,
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#BecquerelPerCubicMetre,Becquerel per Cubic Metre,subClassOf,https://w3id.org/emmo#EMMO_1273eb34_de48_43a9_925f_104110469dd2,SICoherentDerivedUnit,This class collects all units that are products or powers of SI base or SI special units only.
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#BecquerelPerCubicMetre,Becquerel per Cubic Metre,subClassOf,https://w3id.org/emmo#EMMO_43e499a1_ca67_4380_ac08_cfc52a93ad04,FrequencyPerVolumeUnit,
../Ontologies/materialsmine_converted.ttl,https://w3id.org/pmd/co/Object,Object,subClassOf,http://www.w3.org/ns/prov#Entity,,
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_f5655090_2266_41cb_b2e9_3b4569c45731,Hobeln,subClassOf,https://w3id.org/emmo#EMMO_bfce8136_8f58_4ea5_ab3a_1734170c5d92,RemovingChipsFromWorkpiece,
../Ontologies/materialsmine_converted.ttl,https://w3id.org/pmd/co/PercentageTotalExtensionAtMaximumForce,Gesamte Extensometer-Dehnung bei Höchstkraft,subClassOf,https://w3id.org/pmd/co/Extension,Extension,"Dimensional analysis: L
Unit (e.g. SI): mm Increase in the extensometer gauge length at any moment during the test Note: The extension might be measured using different channels (e.g. when using one or two extensometer channels); usually, the mean average value of involved channels is given as extension value, if applicable.

Note: Optical extensometry may require a specific data storage method. Zunahme der Extensometer-Messlänge zu einem beliebigen Zeitpunkt des Versuchs"
../Ontologies/materialsmine_converted.ttl,https://w3id.org/pmd/co/PercentageTotalExtensionAtMaximumForce,Gesamte Extensometer-Dehnung bei Höchstkraft,equivalentClass,Complex class expression,Intersection of Restriction on relates to some Extensometer Gauge Length and Restriction on relates to some Höchstkraft,Complex class expression
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/NucleicAcidPart,nucleic acid part,subClassOf,http://semanticscience.org/resource/OrganicSubmolecule,organic submolecule,An organic submolecule is connected region of a molecule.
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_8a41ed1b_64f9_4be7_9b60_01fcece45075,ChemicalMaterial,subClassOf,https://w3id.org/emmo#EMMO_4207e895_8b83_4318_996a_72cfb32acd94,Material,
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#Weber,Weber,subClassOf,https://w3id.org/emmo#EMMO_4c49ab58_a6f6_409e_b849_f873ae1dcbee,MagneticFluxUnit,
../Ontologies/materialsmine_converted.ttl,http://materialsmine.org/ns/ImpactToughness,Impact Toughness,subClassOf,http://materialsmine.org/ns/Impact,Impact,Izod impact resistance of materials
../Ontologies/materialsmine_converted.ttl,http://materialsmine.org/ns/MolecularWeight_Mn,Number Average Molar Mass,subClassOf,http://materialsmine.org/ns/MolecularWeight,Molecular Weight,
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/Loneliness,loneliness,subClassOf,http://semanticscience.org/resource/NegativeEmotion,negative emotion,negative emotion is an emotion that does not feel good.
../Ontologies/materialsmine_converted.ttl,https://w3id.org/pmd/co/TransmissionElectronMicroscopy,Transmission Electron Microscopy,subClassOf,https://w3id.org/pmd/co/ElectronMicroscopy,Electron Microscopy,"Die Verwendung eines elektronenoptischen Instruments, bei dem ein Strahl beschleunigter Elektronen als Beleuchtungsquelle eingesetzt wird, um ein vergrößertes Bild eines kleinen Objekts zu erzeugen. The act of using an electron-optical instrument in which a beam of accelerated electrons as a source of illumination is applied to produce a magnified image of a tiny object."
../Ontologies/materialsmine_converted.ttl,https://w3id.org/pmd/co/TransmissionElectronMicroscopy,Transmission Electron Microscopy,equivalentClass,Complex class expression,Restriction on has participant some Transmission Electron Microscope,Complex class expression
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_560d031f_cc8a_4f0d_a52b_039149fdc171,SuperconductorEnergyGap,subClassOf,https://w3id.org/emmo#EMMO_69164f9e_c75d_4fbc_a0f8_af7a81bbd128,BandgapEnergy,
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_560d031f_cc8a_4f0d_a52b_039149fdc171,SuperconductorEnergyGap,subClassOf,https://w3id.org/emmo#EMMO_c29603f5_95e8_42f5_ab0c_f3bcf3166d53,CondensedMatterPhysicsQuantity,
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_46b8d239_5d79_4d3e_bf8e_228d52fc3428,StandardConcentration,subClassOf,https://w3id.org/emmo#EMMO_a06e3d38_1aa8_4f45_89a8_722dbacfda24,PhysioChemicalQuantity,
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_46b8d239_5d79_4d3e_bf8e_228d52fc3428,StandardConcentration,subClassOf,https://w3id.org/emmo#EMMO_d5be1faf_0c56_4f5a_9b78_581e6dee949f,Concentration,The amount of a constituent divided by the volume of the mixture.
