Subject,Predicate,Object
http://semanticscience.org/resource/BromineAtom,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://semanticscience.org/resource/Atom
http://semanticscience.org/resource/Metadata,http://data.bioontology.org/metadata/prefixIRI,sio:Metadata
http://materialsmine.org/ns/Book,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://semanticscience.org/resource/Document
n1951b7155c684ff6befdb168f4684486b949,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,n1951b7155c684ff6befdb168f4684486b950
http://materialsmine.org/ns/Nanomaterial,http://www.w3.org/2000/01/rdf-schema#label,Nanomaterial
http://semanticscience.org/resource/Written,http://www.w3.org/2000/01/rdf-schema#label,written
n1951b7155c684ff6befdb168f4684486b628,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,n1951b7155c684ff6befdb168f4684486b629
http://semanticscience.org/resource/CentrifugationPellet,http://data.bioontology.org/metadata/prefixIRI,sio:CentrifugationPellet
http://semanticscience.org/resource/Contentment,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://semanticscience.org/resource/Happiness
http://materialsmine.org/ns/HeatOfFusion,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://semanticscience.org/resource/Submolecule,http://purl.org/dc/terms/description,A submolecule is any part of a molecule.
http://semanticscience.org/resource/AmorphousCarbon,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://semanticscience.org/resource/CarbonAllotrope
http://materialsmine.org/ns/IrreducibleBrillouinZone,http://data.bioontology.org/metadata/prefixIRI,materialsmine:IrreducibleBrillouinZone
http://semanticscience.org/resource/DecreasedObjectProductionFromIncreasedRegulation,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://semanticscience.org/resource/MRNASpliceVariant,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://semanticscience.org/resource/MessengerRNA
http://semanticscience.org/resource/BrownianMotion,http://data.bioontology.org/metadata/prefixIRI,sio:BrownianMotion
n1951b7155c684ff6befdb168f4684486b837,http://www.w3.org/2002/07/owl#unionOf,n1951b7155c684ff6befdb168f4684486b838
http://semanticscience.org/resource/UnunseptiumAtom,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.ontology-of-units-of-measure.org/resource/om-2/kilopascal,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://semanticscience.org/resource/isGreaterThan,http://purl.org/dc/terms/description,is greater than to is a comparison relation between two quantities in which the first has a value larger than the second.
http://materialsmine.org/ns/FlexuralStressAtBreak,http://data.bioontology.org/metadata/prefixIRI,materialsmine:FlexuralStressAtBreak
http://semanticscience.org/resource/denotes,http://www.w3.org/2004/02/skos/core#example,the symbol '%' denotes a proportion in relation to a whole.
n1951b7155c684ff6befdb168f4684486b749,http://www.w3.org/2002/07/owl#onProperty,http://semanticscience.org/resource/represents
http://semanticscience.org/resource/isMatchTo,http://www.w3.org/2000/01/rdf-schema#label,is match to
http://semanticscience.org/resource/ReferencingCell,http://www.w3.org/2000/01/rdf-schema#label,referencing cell
http://semanticscience.org/resource/hasOutput,http://www.w3.org/2000/01/rdf-schema#label,has output
n1951b7155c684ff6befdb168f4684486b73,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,http://purl.org/ontology/bibo/Collection
http://semanticscience.org/resource/Lipid,http://www.w3.org/2000/01/rdf-schema#label,lipid
http://semanticscience.org/resource/CopperAtom,http://www.w3.org/2000/01/rdf-schema#label,copper atom
http://purl.org/ontology/bibo/MultiVolumeBook,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://purl.org/ontology/bibo/Workshop,http://data.bioontology.org/metadata/prefixIRI,bibo:Workshop
n1951b7155c684ff6befdb168f4684486b309,http://www.w3.org/2002/07/owl#someValuesFrom,n1951b7155c684ff6befdb168f4684486b310
http://semanticscience.org/resource/Circumference,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
n1951b7155c684ff6befdb168f4684486b923,http://www.w3.org/2002/07/owl#someValuesFrom,http://semanticscience.org/resource/Country
http://semanticscience.org/resource/Hostility,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://semanticscience.org/resource/NegativeEmotion
http://semanticscience.org/resource/TimeMeasurement,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://semanticscience.org/resource/DimensionalQuantity
n1951b7155c684ff6befdb168f4684486b1099,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,n1951b7155c684ff6befdb168f4684486b1100
http://semanticscience.org/resource/ToDecodeInformation,http://purl.org/dc/terms/description,the ability to reverse an encoding operation
http://semanticscience.org/resource/ToLoseACovalentBond,http://data.bioontology.org/metadata/prefixIRI,sio:ToLoseACovalentBond
n1951b7155c684ff6befdb168f4684486b689,http://www.w3.org/2002/07/owl#someValuesFrom,http://semanticscience.org/resource/Intron
http://materialsmine.org/ns/CTensor,http://www.w3.org/2004/02/skos/core#definition,"The material stiffness tensor of a linear elastic material defines the relationship between the stress and strain tensors such that $\sigma = C\epsilon$, where $\sigma$ is the Cauchy stress tensor (a second order tensor), and $\epsilon$ is the infinitesimal strain tensor (a second order tensor)."
http://semanticscience.org/resource/refersTo,http://semanticscience.org/resource/subset,nlp+
n1951b7155c684ff6befdb168f4684486b168,http://www.w3.org/2002/07/owl#someValuesFrom,http://semanticscience.org/resource/TimeInterval
http://semanticscience.org/resource/StudentRole,http://www.w3.org/2000/01/rdf-schema#label,student role
http://semanticscience.org/resource/isFrequencyOf,http://www.w3.org/2000/01/rdf-schema#label,is frequency of
http://semanticscience.org/resource/AntimonyAtom,http://www.w3.org/2004/02/skos/core#exactMatch,CHEBI:30513
http://semanticscience.org/resource/Chemical-diseaseAssociation,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://semanticscience.org/ontology/sio/v1.53/sio-subset-labels.owl
n1951b7155c684ff6befdb168f4684486b274,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction
n1951b7155c684ff6befdb168f4684486b945,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction
http://semanticscience.org/resource/OpenReadingFrame,http://www.w3.org/2000/01/rdf-schema#subClassOf,n1951b7155c684ff6befdb168f4684486b781
n1951b7155c684ff6befdb168f4684486b337,http://www.w3.org/2002/07/owl#someValuesFrom,n1951b7155c684ff6befdb168f4684486b338
http://semanticscience.org/resource/Syndrome,http://data.bioontology.org/metadata/prefixIRI,sio:Syndrome
http://semanticscience.org/resource/Speculation,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://semanticscience.org/ontology/sio/v1.53/sio-subset-labels.owl
http://materialsmine.org/ns/OtherProcessing,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://semanticscience.org/resource/Measuring,http://www.w3.org/2000/01/rdf-schema#subClassOf,n1951b7155c684ff6befdb168f4684486b709
n1951b7155c684ff6befdb168f4684486b362,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction
http://semanticscience.org/resource/PageTotal,http://purl.org/dc/terms/description,A page total is a textual entity that is about the number of pages in some informational entity.
http://semanticscience.org/resource/InsertionVariantRole,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://semanticscience.org/ontology/sio/v1.53/sio-subset-labels.owl
n1951b7155c684ff6befdb168f4684486b1267,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,http://semanticscience.org/resource/Mild
http://semanticscience.org/resource/TreeDiagram,http://www.w3.org/2000/01/rdf-schema#label,tree diagram
http://purl.org/ontology/bibo/DocumentStatus,http://www.w3.org/2000/01/rdf-schema#label,Document Status
http://materialsmine.org/ns/unit/w-m-k,http://www.w3.org/2000/01/rdf-schema#label,W/(m*K)
http://semanticscience.org/resource/PotassiumAtom,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://semanticscience.org/ontology/sio/v1.53/sio-subset-labels.owl
n1951b7155c684ff6befdb168f4684486b1204,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction
n1951b7155c684ff6befdb168f4684486b366,http://www.w3.org/2002/07/owl#someValuesFrom,http://semanticscience.org/resource/CartesianCoordinateSystem
http://semanticscience.org/resource/hasFunction,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://semanticscience.org/ontology/sio/v1.53/sio-subset-labels.owl
http://semanticscience.org/resource/TantalumAtom,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://semanticscience.org/ontology/sio/v1.53/sio-subset-labels.owl
n1951b7155c684ff6befdb168f4684486b336,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
n1951b7155c684ff6befdb168f4684486b135,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction
http://semanticscience.org/resource/CellLine,http://data.bioontology.org/metadata/prefixIRI,sio:CellLine
http://purl.org/dc/terms/format,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://semanticscience.org/resource/Word,http://data.bioontology.org/metadata/prefixIRI,sio:Word
http://materialsmine.org/ns/DOI,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://materialsmine.org/ns/TransmissionElectronMicroscopy,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://semanticscience.org/resource/Measuring
http://semanticscience.org/resource/ToCompare,http://www.w3.org/2000/01/rdf-schema#label,to compare
http://semanticscience.org/resource/ControlVariable,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://semanticscience.org/resource/Variable
http://semanticscience.org/resource/Activator,http://www.w3.org/2000/01/rdf-schema#label,activator
http://semanticscience.org/resource/ScaledValueAxis,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://semanticscience.org/resource/SpatialSpecification,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://purl.org/ontology/bibo/Map,http://data.bioontology.org/metadata/prefixIRI,bibo:Map
http://semanticscience.org/resource/ControlRole,http://data.bioontology.org/metadata/prefixIRI,sio:ControlRole
http://semanticscience.org/resource/RadiumAtom,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://semanticscience.org/ontology/sio/v1.53/sio-subset-labels.owl
http://semanticscience.org/resource/DecreasingLine,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://semanticscience.org/resource/TrendLine
http://semanticscience.org/resource/hasBasis,http://www.w3.org/2000/01/rdf-schema#label,has basis
n1951b7155c684ff6befdb168f4684486b1209,http://www.w3.org/2002/07/owl#members,n1951b7155c684ff6befdb168f4684486b1210
http://semanticscience.org/resource/VerticalLine,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://semanticscience.org/resource/PositionallyOrientedLine
http://semanticscience.org/resource/StudyGroup,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://semanticscience.org/resource/isPriorVersionOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://semanticscience.org/resource/StackedBarGraph,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
n1951b7155c684ff6befdb168f4684486b769,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction
n1951b7155c684ff6befdb168f4684486b98,http://www.w3.org/2002/07/owl#onProperty,http://semanticscience.org/resource/hasAttribute
http://semanticscience.org/resource/Planned,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://semanticscience.org/resource/Allele,http://purl.org/dc/terms/description,An allele is one of a set of sequence variants of a gene.
http://semanticscience.org/resource/hasAttribute,http://semanticscience.org/resource/subset,core
http://semanticscience.org/resource/XCartesianCoordinate,http://data.bioontology.org/metadata/prefixIRI,sio:XCartesianCoordinate
n1951b7155c684ff6befdb168f4684486b1272,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#AllDisjointClasses
http://materialsmine.org/ns/Heating,http://www.w3.org/2000/01/rdf-schema#subClassOf,n1951b7155c684ff6befdb168f4684486b155
http://semanticscience.org/resource/MagnesiumAtom,http://www.w3.org/2000/01/rdf-schema#label,magnesium atom
n1951b7155c684ff6befdb168f4684486b930,http://www.w3.org/2002/07/owl#someValuesFrom,http://semanticscience.org/resource/TextualEntity
http://semanticscience.org/resource/Patient,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://semanticscience.org/resource/Person
http://purl.org/ontology/bibo/LegalCaseDocument,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/ontology/bibo/LegalDocument
http://semanticscience.org/resource/Ontology,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://semanticscience.org/resource/ControlVariable,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://www.ontology-of-units-of-measure.org/resource/om-2/nanometre,http://www.w3.org/2000/01/rdf-schema#label,Nanometer
http://semanticscience.org/resource/ToBeElectronicallyModified,http://www.w3.org/2000/01/rdf-schema#label,to be electronically modified
http://semanticscience.org/resource/isCapabilityOf,http://www.w3.org/2000/01/rdf-schema#label,is capability of
http://materialsmine.org/ns/unit/1-s,http://www.w3.org/2000/01/rdf-schema#label,Per Second
n1951b7155c684ff6befdb168f4684486b956,http://www.w3.org/2002/07/owl#onProperty,http://semanticscience.org/resource/isDispositionOf
http://semanticscience.org/resource/Fatal,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://semanticscience.org/resource/Intensity
http://semanticscience.org/resource/SmallCytoplasmicRNAscRNAGene,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://semanticscience.org/resource/Non-proteinCodingRNAncRNAGene
n1951b7155c684ff6befdb168f4684486b377,http://www.w3.org/2002/07/owl#onProperty,http://semanticscience.org/resource/hasQuality
http://semanticscience.org/resource/overlapsWith,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://semanticscience.org/ontology/sio/v1.53/sio-subset-labels.owl
http://semanticscience.org/resource/IronAtom,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://semanticscience.org/ontology/sio/v1.53/sio-subset-labels.owl
n1951b7155c684ff6befdb168f4684486b718,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction
http://semanticscience.org/resource/ToIonize,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://semanticscience.org/resource/DecimalScale,http://www.w3.org/2000/01/rdf-schema#label,decimal scale
http://semanticscience.org/resource/ToServeAsATemplateForProteinSynthesis,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://semanticscience.org/resource/ToServeAsATemplateForMolecularSynthesis
n1951b7155c684ff6befdb168f4684486b219,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction
n1951b7155c684ff6befdb168f4684486b397,http://www.w3.org/2002/07/owl#someValuesFrom,http://semanticscience.org/resource/MaterialEntity
http://semanticscience.org/resource/GeographicImage,http://purl.org/dc/terms/description,A geographic image is a photograph of some geographical area.
http://semanticscience.org/resource/Y-axis,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://semanticscience.org/resource/CartesianCoordinateAxis
n1951b7155c684ff6befdb168f4684486b1155,http://www.w3.org/2002/07/owl#onProperty,http://semanticscience.org/resource/isUniqueIdentifierFor
http://materialsmine.org/ns/LatticeVector,http://www.w3.org/2004/02/skos/core#definition,"A matrix composed of multiple Cartesian vectors, each representing a lattice vector. The combination of lattice vectors define the lattice geometry."
http://semanticscience.org/resource/OpenReadingFrame,http://purl.org/dc/terms/description,An open reading frame (ORF) is a part of a gene that encodes a protein but does not contain a stop codon.
http://materialsmine.org/ns/ResearchArticle,http://data.bioontology.org/metadata/prefixIRI,materialsmine:ResearchArticle
n1951b7155c684ff6befdb168f4684486b505,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
http://semanticscience.org/resource/MaintenanceOfDurationOfProcess,http://data.bioontology.org/metadata/prefixIRI,sio:MaintenanceOfDurationOfProcess
http://semanticscience.org/resource/SecondaryStructureDescriptor,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://semanticscience.org/resource/BiomolecularStructureDescriptor
n1951b7155c684ff6befdb168f4684486b779,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,n1951b7155c684ff6befdb168f4684486b777
http://semanticscience.org/resource/TimeInstant,http://www.w3.org/2004/02/skos/core#example,at this moment; the moment at which a finger is detached in an industrial accident; the moment at which a child is born; the moment of death
http://www.ontology-of-units-of-measure.org/resource/om-2/minute-Time,http://www.w3.org/2000/01/rdf-schema#label,Minute
http://semanticscience.org/resource/Specification,http://www.w3.org/2000/01/rdf-schema#subClassOf,n1951b7155c684ff6befdb168f4684486b1047
http://semanticscience.org/resource/DoubleStrandedRNA,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://purl.org/ontology/bibo/citedBy,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://qudt.org/vocab/unit/j-per-gm,http://www.w3.org/2000/01/rdf-schema#label,Joule per Gram
http://semanticscience.org/resource/ToChangeSpatially,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://semanticscience.org/resource/ToModify
http://semanticscience.org/resource/CategoryAxis,http://www.w3.org/2002/07/owl#disjointWith,http://semanticscience.org/resource/ValueAxis
http://semanticscience.org/resource/QuaternaryStructure,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://semanticscience.org/ontology/sio/v1.53/sio-subset-labels.owl
http://semanticscience.org/resource/isLocationOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://semanticscience.org/resource/isIdenticalTo,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://semanticscience.org/ontology/sio/v1.53/sio-subset-labels.owl
n1951b7155c684ff6befdb168f4684486b1004,http://www.w3.org/2002/07/owl#onProperty,http://semanticscience.org/resource/isDerivedFrom
n1951b7155c684ff6befdb168f4684486b1112,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction
http://semanticscience.org/resource/hasProperty,http://www.w3.org/2000/01/rdf-schema#label,has property
http://materialsmine.org/ns/ShearStressAtYield,http://www.w3.org/2000/01/rdf-schema#label,Shear Stress At Yield
http://semanticscience.org/resource/Intersex,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://semanticscience.org/ontology/sio/v1.53/sio-subset-labels.owl
http://semanticscience.org/resource/Hurt,http://purl.org/dc/terms/description,"hurt is an unpleasant feeling, emotion or sensation."
n1951b7155c684ff6befdb168f4684486b1022,http://www.w3.org/2002/07/owl#someValuesFrom,http://semanticscience.org/resource/Set
http://purl.org/ontology/bibo/Book,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://purl.org/ontology/bibo/
http://purl.org/ontology/bibo/LegalDocument,http://www.w3.org/2000/01/rdf-schema#label,Legal Document
n1951b7155c684ff6befdb168f4684486b290,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction
http://www.ontology-of-units-of-measure.org/resource/om-2/gramPerCubicCentimetre,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://semanticscience.org/resource/UnitOfMeasurement
http://semanticscience.org/resource/Variable,http://data.bioontology.org/metadata/prefixIRI,sio:Variable
http://materialsmine.org/ns/RotationalMolding,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://materialsmine.org/ns/Molding
n1951b7155c684ff6befdb168f4684486b111,http://www.w3.org/2002/07/owl#onProperty,http://semanticscience.org/resource/hasAttribute
http://materialsmine.org/ns/PulsedElectroAcoustic,http://www.w3.org/2004/02/skos/core#definition,Measurement of space charge in dielectric materials
http://semanticscience.org/resource/BibliographySection,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://semanticscience.org/resource/DocumentSection
n1951b7155c684ff6befdb168f4684486b818,http://www.w3.org/2002/07/owl#onProperty,http://semanticscience.org/resource/isPartOf
http://semanticscience.org/resource/Monomer,http://www.w3.org/2000/01/rdf-schema#subClassOf,n1951b7155c684ff6befdb168f4684486b736
http://www.ontology-of-units-of-measure.org/resource/om-2/nanometre,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#NamedIndividual
http://semanticscience.org/resource/Abnormal,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://semanticscience.org/resource/ToExtract,http://purl.org/dc/terms/description,to extract is the capability to remove certain entities based on selected attribute(s) while allowing other entities to remain.
http://semanticscience.org/resource/ErbiumAtom,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://semanticscience.org/ontology/sio/v1.53/sio-subset-labels.owl
http://purl.org/ontology/bibo/court,http://www.w3.org/2000/01/rdf-schema#label,court
http://semanticscience.org/resource/hasSubstrate,http://purl.org/dc/terms/description,has substrate is a relation between a process and an object where the object is destroyed by its participation in the process.
http://semanticscience.org/resource/TableOfContents,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://semanticscience.org/resource/DocumentSection
http://semanticscience.org/resource/VersionLabel,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://semanticscience.org/resource/WebServiceInvocation,http://purl.org/dc/terms/description,A web service invocation involves the execution of a web service.
n1951b7155c684ff6befdb168f4684486b944,http://www.w3.org/2002/07/owl#someValuesFrom,http://semanticscience.org/resource/Entity
http://semanticscience.org/resource/Awe,http://purl.org/dc/terms/description,"awe is an emotion produced by that which is grand, sublime or powerful and is characterized by a combination of joy, fear and admiration/reverence/respect. "
http://semanticscience.org/resource/ProteinExpressionValue,http://purl.org/dc/terms/description,A protein expression value is a quantity obtained from a protein expression experiment.
http://semanticscience.org/resource/Gene-diseaseAssociationLinkedWithGenomicAlterations,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
n1951b7155c684ff6befdb168f4684486b630,http://www.w3.org/2002/07/owl#onProperty,http://semanticscience.org/resource/hasProduct
http://semanticscience.org/resource/SemanticWebService,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://semanticscience.org/resource/RutherfordiumAtom,http://data.bioontology.org/metadata/prefixIRI,sio:RutherfordiumAtom
http://materialsmine.org/ns/unit/j-gk,http://www.w3.org/2000/01/rdf-schema#label,Joule per Gram-Kelvin
http://semanticscience.org/resource/LengthOfPerimeter,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
