Class,SubClassOf,IntersectionOf,Comment,OnProperty,SomeValuesFrom,Definition
http://materialsmine.org/ns/BallMilling,http://materialsmine.org/ns/Mixing,None,None,None,None,None
http://materialsmine.org/ns/BallMilling,nc1dd680924f540ad8a0d60c28f9143d8b88,None,None,None,None,None
http://materialsmine.org/ns/BandGap,http://materialsmine.org/ns/ElectricalProperty,None,None,None,None,None
http://materialsmine.org/ns/BandGapIndex,http://materialsmine.org/ns/Index,None,None,None,None,None
http://materialsmine.org/ns/BandGapLocation,http://semanticscience.org/resource/Position,None,None,None,None,None
http://materialsmine.org/ns/BandGapSize,http://semanticscience.org/resource/Width,None,None,None,None,None
http://materialsmine.org/ns/BandGapType,http://materialsmine.org/ns/BandGap,None,None,None,None,None
http://materialsmine.org/ns/BarrelTemperature,obo:PATO_0000146,None,None,None,None,None
http://materialsmine.org/ns/Binary2DGeometry,http://materialsmine.org/ns/Geometry,None,None,None,None,None
http://materialsmine.org/ns/Book,http://semanticscience.org/resource/Document,None,None,None,None,None
http://materialsmine.org/ns/BreakdownStrength,http://materialsmine.org/ns/ElectricalProperty,None,None,None,None,None
http://materialsmine.org/ns/BrittleTemperature,http://materialsmine.org/ns/ThermalProperty,None,None,None,None,None
http://materialsmine.org/ns/BrittleTemperature,obo:PATO_0000146,None,None,None,None,None
http://materialsmine.org/ns/BrittleTemperature,nc1dd680924f540ad8a0d60c28f9143d8b89,None,None,None,None,None
http://materialsmine.org/ns/C11,http://materialsmine.org/ns/CMatrixElement,None,None,None,None,None
http://materialsmine.org/ns/C12,http://materialsmine.org/ns/CMatrixElement,None,None,None,None,None
http://materialsmine.org/ns/C16,http://materialsmine.org/ns/CMatrixElement,None,None,None,None,None
http://materialsmine.org/ns/C22,http://materialsmine.org/ns/CMatrixElement,None,None,None,None,None
http://materialsmine.org/ns/C26,http://materialsmine.org/ns/CMatrixElement,None,None,None,None,None
http://materialsmine.org/ns/C66,http://materialsmine.org/ns/CMatrixElement,None,None,None,None,None
http://materialsmine.org/ns/CMatrix,http://semanticscience.org/resource/Matrix,None,None,None,None,None
http://materialsmine.org/ns/CMatrixElement,http://semanticscience.org/resource/InformationContentEntity,None,None,None,None,None
http://materialsmine.org/ns/CMatrixIndexI,http://materialsmine.org/ns/Index,None,None,None,None,None
http://materialsmine.org/ns/CMatrixIndexJ,http://materialsmine.org/ns/Index,None,None,None,None,None
http://materialsmine.org/ns/CMatrixIndicesIJ,http://semanticscience.org/resource/InformationContentEntity,None,None,None,None,None
http://materialsmine.org/ns/CTensor,http://semanticscience.org/resource/Tensor,None,None,None,None,None
http://materialsmine.org/ns/CTensorElement,http://semanticscience.org/resource/InformationContentEntity,None,None,None,None,None
http://materialsmine.org/ns/CTensorIndexI,http://materialsmine.org/ns/Index,None,None,None,None,None
http://materialsmine.org/ns/CTensorIndexJ,http://materialsmine.org/ns/Index,None,None,None,None,None
http://materialsmine.org/ns/CTensorIndexK,http://materialsmine.org/ns/Index,None,None,None,None,None
http://materialsmine.org/ns/CTensorIndexL,http://materialsmine.org/ns/Index,None,None,None,None,None
http://materialsmine.org/ns/CTensorIndicesIJKL,http://semanticscience.org/resource/InformationContentEntity,None,None,None,None,None
http://materialsmine.org/ns/CU_Formula,http://semanticscience.org/resource/Name,None,None,None,None,None
http://materialsmine.org/ns/CapillarySize,http://semanticscience.org/resource/Parameter,None,None,None,None,None
http://materialsmine.org/ns/CartesianVector,http://semanticscience.org/resource/Vector,None,None,None,None,None
http://materialsmine.org/ns/Casting,http://materialsmine.org/ns/Molding,None,None,None,None,None
http://materialsmine.org/ns/Centrifugation,http://semanticscience.org/resource/Procedure,None,None,None,None,None
http://materialsmine.org/ns/ChannelDepth,http://semanticscience.org/resource/Depth,None,None,None,None,None
http://materialsmine.org/ns/ChannelsPerScrew,http://semanticscience.org/resource/Quantity,None,None,None,None,None
http://materialsmine.org/ns/CharpyImpactEnergy,http://materialsmine.org/ns/MechanicalProperty,None,None,None,None,None
http://materialsmine.org/ns/CharpyImpactEnergy,nc1dd680924f540ad8a0d60c28f9143d8b90,None,None,None,None,None
http://materialsmine.org/ns/ChemicalName,http://semanticscience.org/resource/Name,None,None,None,None,None
http://materialsmine.org/ns/ChemicalUsed,http://semanticscience.org/resource/ChemicalEntity,None,None,None,None,None
http://materialsmine.org/ns/CoRotation,http://materialsmine.org/ns/RotationMode,None,None,None,None,None
http://materialsmine.org/ns/Communication,http://purl.org/ontology/bibo/AcademicArticle,None,None,None,None,None
http://materialsmine.org/ns/Component,http://www.w3.org/2002/07/owl#Thing,None,None,None,None,None
http://materialsmine.org/ns/Composition,http://www.w3.org/2002/07/owl#Thing,None,None,None,None,None
http://materialsmine.org/ns/Compression,http://materialsmine.org/ns/ViscoelasticProperty,None,None,None,None,None
http://materialsmine.org/ns/CompressionModulus,http://materialsmine.org/ns/CompressionProperty,None,None,None,None,None
http://materialsmine.org/ns/CompressionModulus,nc1dd680924f540ad8a0d60c28f9143d8b91,None,None,None,None,None
http://materialsmine.org/ns/CompressionProperty,http://materialsmine.org/ns/MechanicalProperty,None,None,None,None,None
http://materialsmine.org/ns/CompressionStressAtBreak,http://materialsmine.org/ns/CompressionProperty,None,None,None,None,None
http://materialsmine.org/ns/CompressionStressAtBreak,nc1dd680924f540ad8a0d60c28f9143d8b92,None,None,None,None,None
http://materialsmine.org/ns/CompressionStressAtYield,http://materialsmine.org/ns/CompressionProperty,None,None,None,None,None
http://materialsmine.org/ns/CompressionStressAtYield,nc1dd680924f540ad8a0d60c28f9143d8b93,None,None,None,None,None
http://materialsmine.org/ns/CompressiveCreep,http://materialsmine.org/ns/Creep,None,None,None,None,None
http://materialsmine.org/ns/CompressiveCreepRuptureStrength,http://materialsmine.org/ns/CompressiveCreep,None,None,None,None,None
http://materialsmine.org/ns/CompressiveCreepRuptureStrength,nc1dd680924f540ad8a0d60c28f9143d8b94,None,None,None,None,None
http://materialsmine.org/ns/CompressiveCreepRuptureTime,http://materialsmine.org/ns/CompressiveCreep,None,None,None,None,None
http://materialsmine.org/ns/CompressiveCreepRuptureTime,nc1dd680924f540ad8a0d60c28f9143d8b95,None,None,None,None,None
http://materialsmine.org/ns/CompressiveCreepStrain,http://materialsmine.org/ns/CompressiveCreep,None,None,None,None,None
http://materialsmine.org/ns/CompressiveLoadingProfile,http://materialsmine.org/ns/CompressionProperty,None,None,None,None,None
http://materialsmine.org/ns/CompressiveToughness,http://materialsmine.org/ns/CompressionProperty,None,None,None,None,None
http://materialsmine.org/ns/CondensedBinary2DGeometry,http://materialsmine.org/ns/Binary2DGeometry,None,None,None,None,None
http://materialsmine.org/ns/Condition,http://materialsmine.org/ns/CompressionProperty,None,None,None,None,None
http://materialsmine.org/ns/ConePlateRheometery,http://materialsmine.org/ns/Rheometery,None,None,None,None,None
http://materialsmine.org/ns/ConePlateRheometery,nc1dd680924f540ad8a0d60c28f9143d8b96,None,None,None,None,None
http://materialsmine.org/ns/Constituent,http://semanticscience.org/resource/MaterialEntity,None,None,None,None,None
http://materialsmine.org/ns/ConstitutionalUnit,http://semanticscience.org/resource/UnitOfMeasurement,None,None,None,None,None
http://materialsmine.org/ns/Cooling,http://semanticscience.org/resource/Procedure,None,None,None,None,None
http://materialsmine.org/ns/Cooling,nc1dd680924f540ad8a0d60c28f9143d8b97,None,None,None,None,None
http://materialsmine.org/ns/Cooling,nc1dd680924f540ad8a0d60c28f9143d8b98,None,None,None,None,None
http://materialsmine.org/ns/Cooling,nc1dd680924f540ad8a0d60c28f9143d8b99,None,None,None,None,None
http://materialsmine.org/ns/Cooling,nc1dd680924f540ad8a0d60c28f9143d8b100,None,None,None,None,None
http://materialsmine.org/ns/CoolingRate,http://semanticscience.org/resource/Parameter,None,None,None,None,None
http://materialsmine.org/ns/Copolymer,http://semanticscience.org/resource/Polymer,None,None,None,None,None
http://materialsmine.org/ns/CounterRotation,http://materialsmine.org/ns/RotationMode,None,None,None,None,None
http://materialsmine.org/ns/Creep,http://materialsmine.org/ns/ViscoelasticProperty,None,None,None,None,None
http://materialsmine.org/ns/CrystalPhase,http://semanticscience.org/resource/CrystalStructure,None,None,None,None,None
http://materialsmine.org/ns/Crystallinity,http://materialsmine.org/ns/ThermalProperty,None,None,None,None,None
http://materialsmine.org/ns/CrystallizationTemperature,http://materialsmine.org/ns/ThermalProperty,None,None,None,None,None
http://materialsmine.org/ns/CrystallizationTemperature,obo:PATO_0000146,None,None,None,None,None
http://materialsmine.org/ns/CubeGeomtry,http://materialsmine.org/ns/CuboidalGeometry,None,None,None,None,None
http://materialsmine.org/ns/CuboidalGeometry,http://materialsmine.org/ns/3DGeometry,None,None,None,None,None
http://materialsmine.org/ns/Curing,http://semanticscience.org/resource/Procedure,None,None,None,None,None
http://materialsmine.org/ns/CurrentDensity,http://materialsmine.org/ns/ElectricalProperty,None,None,None,None,None
http://materialsmine.org/ns/CurrentDensity,nc1dd680924f540ad8a0d60c28f9143d8b101,None,None,None,None,None
http://materialsmine.org/ns/CycleInformation,http://semanticscience.org/resource/InformationContentEntity,None,None,None,None,None
http://materialsmine.org/ns/DC_DielectricConstant,http://materialsmine.org/ns/ElectricalProperty,None,None,None,None,None
http://materialsmine.org/ns/DLRatio,http://semanticscience.org/resource/Ratio,None,None,None,None,None
http://materialsmine.org/ns/DMA_Mode,http://materialsmine.org/ns/DynamicProperties,None,None,None,None,None
http://materialsmine.org/ns/DMA_Mode,obo:ID_0000061,None,None,None,None,None
http://materialsmine.org/ns/DOI,http://semanticscience.org/resource/InformationalEntityIdentifier,None,None,None,None,None
http://materialsmine.org/ns/DSC_Profile,http://materialsmine.org/ns/ThermalProperty,None,None,None,None,None
http://materialsmine.org/ns/DateOfCitation,http://semanticscience.org/resource/TimeInstant,None,None,None,None,None
http://materialsmine.org/ns/DateOfMeasurement,http://semanticscience.org/resource/TimeInstant,None,None,None,None,None
http://materialsmine.org/ns/DateOfSampleMade,http://semanticscience.org/resource/TimeInstant,None,None,None,None,None
http://materialsmine.org/ns/DegreeOfCrystallization,http://materialsmine.org/ns/Crystallinity,None,None,None,None,None
http://materialsmine.org/ns/Density,http://materialsmine.org/ns/VolumetricProperty,None,None,None,None,None
http://materialsmine.org/ns/Density,http://semanticscience.org/resource/Density,None,None,None,None,None
http://materialsmine.org/ns/Density,nc1dd680924f540ad8a0d60c28f9143d8b102,None,None,None,None,None
http://materialsmine.org/ns/DieDiameter,obo:PATO_0001334,None,None,None,None,None
http://materialsmine.org/ns/DielectricBreakdownStrength,http://materialsmine.org/ns/ElectricalProperty,None,None,None,None,None
http://materialsmine.org/ns/DielectricBreakdownStrength,nc1dd680924f540ad8a0d60c28f9143d8b103,None,None,None,None,None
http://materialsmine.org/ns/DielectricLossPermittivity,http://materialsmine.org/ns/ElectricalProperty,None,None,None,None,None
http://materialsmine.org/ns/DielectricLossTangent,http://materialsmine.org/ns/ElectricalProperty,None,None,None,None,None
http://materialsmine.org/ns/DielectricRealPermittivity,http://materialsmine.org/ns/ElectricalProperty,None,None,None,None,None
http://materialsmine.org/ns/DielectricandImpedanceSpectroscopyAnalysis,http://semanticscience.org/resource/Measuring,None,None,None,None,None
http://materialsmine.org/ns/DielectricandImpedanceSpectroscopyAnalysis,nc1dd680924f540ad8a0d60c28f9143d8b104,None,None,None,None,None
http://materialsmine.org/ns/DifferentialScanningCalorimetry,http://semanticscience.org/resource/Measuring,None,None,None,None,None
http://materialsmine.org/ns/DifferentialScanningCalorimetry,nc1dd680924f540ad8a0d60c28f9143d8b105,None,None,None,None,None
http://materialsmine.org/ns/DifferentialScanningCalorimetry,nc1dd680924f540ad8a0d60c28f9143d8b106,None,None,None,None,None
http://materialsmine.org/ns/DifferentialScanningCalorimetry,nc1dd680924f540ad8a0d60c28f9143d8b107,None,None,None,None,None
http://materialsmine.org/ns/Dimension,http://semanticscience.org/resource/DimensionalQuantity,None,None,None,None,None
http://materialsmine.org/ns/DispersionRelation,http://semanticscience.org/resource/Function,None,None,None,None,None
http://materialsmine.org/ns/DispersionRelation1D,http://materialsmine.org/ns/DispersionRelation,None,None,None,None,None
http://materialsmine.org/ns/DispersionRelation2D,http://materialsmine.org/ns/DispersionRelation,None,None,None,None,None
http://materialsmine.org/ns/DispersionRelation3D,http://materialsmine.org/ns/DispersionRelation,None,None,None,None,None
http://materialsmine.org/ns/Dissolving,http://semanticscience.org/resource/Procedure,None,None,None,None,None
http://materialsmine.org/ns/Dissolving,nc1dd680924f540ad8a0d60c28f9143d8b108,None,None,None,None,None
http://materialsmine.org/ns/Drying-Evaporation,http://semanticscience.org/resource/Procedure,None,None,None,None,None
http://materialsmine.org/ns/Drying-Evaporation,nc1dd680924f540ad8a0d60c28f9143d8b109,None,None,None,None,None
http://materialsmine.org/ns/Drying-Evaporation,nc1dd680924f540ad8a0d60c28f9143d8b110,None,None,None,None,None
http://materialsmine.org/ns/Drying-Evaporation,nc1dd680924f540ad8a0d60c28f9143d8b111,None,None,None,None,None
http://materialsmine.org/ns/Drying-Evaporation,nc1dd680924f540ad8a0d60c28f9143d8b112,None,None,None,None,None
http://materialsmine.org/ns/DynamicMechanicalAnalysis,http://semanticscience.org/resource/Measuring,None,None,None,None,None
http://materialsmine.org/ns/DynamicMechanicalAnalysis,nc1dd680924f540ad8a0d60c28f9143d8b113,None,None,None,None,None
http://materialsmine.org/ns/DynamicProperties,http://www.w3.org/2002/07/owl#Thing,None,None,None,None,None
http://materialsmine.org/ns/DynamicProperty,http://materialsmine.org/ns/ViscoelasticProperty,None,None,None,None,None
http://materialsmine.org/ns/DynamicPropertyProfile,http://materialsmine.org/ns/Profile,None,None,None,None,None
http://materialsmine.org/ns/DynamicViscosity,http://materialsmine.org/ns/RheologicalViscosity,None,None,None,None,None
http://materialsmine.org/ns/Editor,http://www.w3.org/ns/prov#Agent,None,None,None,None,None
http://materialsmine.org/ns/Eigenfrequency,http://semanticscience.org/resource/Frequency,None,None,None,None,None
http://materialsmine.org/ns/Eigenvector,http://semanticscience.org/resource/Vector,None,None,None,None,None
http://materialsmine.org/ns/ElasticityTensor,http://semanticscience.org/resource/Tensor,None,None,None,None,None
http://materialsmine.org/ns/Elastomer,http://materialsmine.org/ns/Plastic,None,None,None,None,None
http://materialsmine.org/ns/ElectricPercolationThreshold,http://materialsmine.org/ns/ElectricalProperty,None,None,None,None,None
http://materialsmine.org/ns/ElectricalConductivity,http://materialsmine.org/ns/ElectricalProperty,None,None,None,None,None
http://materialsmine.org/ns/ElectricalConductivity,nc1dd680924f540ad8a0d60c28f9143d8b114,None,None,None,None,None
http://materialsmine.org/ns/ElectricalProperty,http://semanticscience.org/resource/Quantity,None,None,None,None,None
http://materialsmine.org/ns/Electrometry,http://semanticscience.org/resource/Measuring,None,None,None,None,None
http://materialsmine.org/ns/Electrometry,nc1dd680924f540ad8a0d60c28f9143d8b115,None,None,None,None,None
http://materialsmine.org/ns/ElongationAtBreak,http://materialsmine.org/ns/TensileProperty,None,None,None,None,None
http://materialsmine.org/ns/ElongationAtBreak,nc1dd680924f540ad8a0d60c28f9143d8b116,None,None,None,None,None
http://materialsmine.org/ns/ElongationAtYield,http://materialsmine.org/ns/TensileProperty,None,None,None,None,None
http://materialsmine.org/ns/ElongationAtYield,nc1dd680924f540ad8a0d60c28f9143d8b117,None,None,None,None,None
http://materialsmine.org/ns/EmissionCurrent,http://semanticscience.org/resource/Parameter,None,None,None,None,None
http://materialsmine.org/ns/EnergyDensity,http://materialsmine.org/ns/ElectricalProperty,None,None,None,None,None
http://materialsmine.org/ns/EnergyDensity,nc1dd680924f540ad8a0d60c28f9143d8b118,None,None,None,None,None
http://materialsmine.org/ns/Equipment,http://semanticscience.org/resource/Device,None,None,None,None,None
http://materialsmine.org/ns/EssentialWorkOfFracture,http://materialsmine.org/ns/FractureToughnessProperty,None,None,None,None,None
http://materialsmine.org/ns/EssentialWorkOfFracture,nc1dd680924f540ad8a0d60c28f9143d8b119,None,None,None,None,None
http://materialsmine.org/ns/Eutactic,http://materialsmine.org/ns/Tacticity,None,None,None,None,None
http://materialsmine.org/ns/ExperimentalProcedure,http://semanticscience.org/resource/Procedure,None,None,None,None,None
http://materialsmine.org/ns/Experimenter,http://www.w3.org/ns/prov#Agent,None,None,None,None,None
http://materialsmine.org/ns/ExposureTime,http://semanticscience.org/resource/Parameter,None,None,None,None,None
http://materialsmine.org/ns/Extruder,http://semanticscience.org/resource/Device,None,None,None,None,None
http://materialsmine.org/ns/Extruder,nc1dd680924f540ad8a0d60c28f9143d8b120,None,None,None,None,None
http://materialsmine.org/ns/Extruder,nc1dd680924f540ad8a0d60c28f9143d8b121,None,None,None,None,None
http://materialsmine.org/ns/Extruder,nc1dd680924f540ad8a0d60c28f9143d8b122,None,None,None,None,None
http://materialsmine.org/ns/Extruder,nc1dd680924f540ad8a0d60c28f9143d8b123,None,None,None,None,None
http://materialsmine.org/ns/Extruder,nc1dd680924f540ad8a0d60c28f9143d8b124,None,None,None,None,None
http://materialsmine.org/ns/Extruder,nc1dd680924f540ad8a0d60c28f9143d8b125,None,None,None,None,None
http://materialsmine.org/ns/Extruder,nc1dd680924f540ad8a0d60c28f9143d8b126,None,None,None,None,None
http://materialsmine.org/ns/Extruder,nc1dd680924f540ad8a0d60c28f9143d8b127,None,None,None,None,None
http://materialsmine.org/ns/Extruder,nc1dd680924f540ad8a0d60c28f9143d8b128,None,None,None,None,None
http://materialsmine.org/ns/Extruder,nc1dd680924f540ad8a0d60c28f9143d8b129,None,None,None,None,None
http://materialsmine.org/ns/Extruder,nc1dd680924f540ad8a0d60c28f9143d8b130,None,None,None,None,None
http://materialsmine.org/ns/Extruder,nc1dd680924f540ad8a0d60c28f9143d8b131,None,None,None,None,None
http://materialsmine.org/ns/Extruder,nc1dd680924f540ad8a0d60c28f9143d8b132,None,None,None,None,None
http://materialsmine.org/ns/Extruder,nc1dd680924f540ad8a0d60c28f9143d8b133,None,None,None,None,None
http://materialsmine.org/ns/Extruder,nc1dd680924f540ad8a0d60c28f9143d8b134,None,None,None,None,None
http://materialsmine.org/ns/Extruder,nc1dd680924f540ad8a0d60c28f9143d8b135,None,None,None,None,None
http://materialsmine.org/ns/Extruder,nc1dd680924f540ad8a0d60c28f9143d8b136,None,None,None,None,None
http://materialsmine.org/ns/Extruder,nc1dd680924f540ad8a0d60c28f9143d8b137,None,None,None,None,None
http://materialsmine.org/ns/Extruder,nc1dd680924f540ad8a0d60c28f9143d8b138,None,None,None,None,None
http://materialsmine.org/ns/Extrusion,http://semanticscience.org/resource/Procedure,None,None,None,None,None
http://materialsmine.org/ns/Extrusion,nc1dd680924f540ad8a0d60c28f9143d8b139,None,None,None,None,None
http://materialsmine.org/ns/ExtrusionTemperature,obo:PATO_0000146,None,None,None,None,None
http://materialsmine.org/ns/FiberTensileElongation,http://materialsmine.org/ns/TensileProperty,None,None,None,None,None
http://materialsmine.org/ns/FiberTensileElongation,nc1dd680924f540ad8a0d60c28f9143d8b140,None,None,None,None,None
http://materialsmine.org/ns/FiberTensileModulus,http://materialsmine.org/ns/TensileProperty,None,None,None,None,None
http://materialsmine.org/ns/FiberTensileModulus,nc1dd680924f540ad8a0d60c28f9143d8b141,None,None,None,None,None
http://materialsmine.org/ns/FiberTensileStrength,http://materialsmine.org/ns/TensileProperty,None,None,None,None,None
http://materialsmine.org/ns/FiberTensileStrength,nc1dd680924f540ad8a0d60c28f9143d8b142,None,None,None,None,None
http://materialsmine.org/ns/Filler,http://semanticscience.org/resource/Role,None,None,None,None,None
http://materialsmine.org/ns/FillerComponent,http://materialsmine.org/ns/Component,None,None,None,None,None
http://materialsmine.org/ns/FillerComponentComposition,http://materialsmine.org/ns/Composition,None,None,None,None,None
http://materialsmine.org/ns/FillerComponentInComposite,http://materialsmine.org/ns/FillerComponent,None,None,None,None,None
http://materialsmine.org/ns/FillerComposition,http://materialsmine.org/ns/Composition,None,None,None,None,None
http://materialsmine.org/ns/FillerProcessing,http://materialsmine.org/ns/Processing,None,None,None,None,None
http://materialsmine.org/ns/FlexuralCreep,http://materialsmine.org/ns/Creep,None,None,None,None,None
http://materialsmine.org/ns/FlexuralCreepRuptureStrength,http://materialsmine.org/ns/FlexuralCreep,None,None,None,None,None
http://materialsmine.org/ns/FlexuralCreepRuptureStrength,nc1dd680924f540ad8a0d60c28f9143d8b143,None,None,None,None,None
http://materialsmine.org/ns/FlexuralCreepRuptureTime,http://materialsmine.org/ns/FlexuralCreep,None,None,None,None,None
http://materialsmine.org/ns/FlexuralCreepRuptureTime,nc1dd680924f540ad8a0d60c28f9143d8b144,None,None,None,None,None
http://materialsmine.org/ns/FlexuralCreepStrain,http://materialsmine.org/ns/FlexuralCreep,None,None,None,None,None
http://materialsmine.org/ns/FlexuralLoadingProfile,http://materialsmine.org/ns/FlexuralProperty,None,None,None,None,None
http://materialsmine.org/ns/FlexuralModulus,http://materialsmine.org/ns/FlexuralProperty,None,None,None,None,None
http://materialsmine.org/ns/FlexuralModulus,nc1dd680924f540ad8a0d60c28f9143d8b145,None,None,None,None,None
http://materialsmine.org/ns/FlexuralProperty,http://materialsmine.org/ns/MechanicalProperty,None,None,None,None,None
http://materialsmine.org/ns/FlexuralStressAtBreak,http://materialsmine.org/ns/FlexuralProperty,None,None,None,None,None
http://materialsmine.org/ns/FlexuralStressAtBreak,nc1dd680924f540ad8a0d60c28f9143d8b146,None,None,None,None,None
http://materialsmine.org/ns/FlexuralStressAtYield,http://materialsmine.org/ns/FlexuralProperty,None,None,None,None,None
http://materialsmine.org/ns/FlexuralStressAtYield,nc1dd680924f540ad8a0d60c28f9143d8b147,None,None,None,None,None
http://materialsmine.org/ns/FlexuralToughness,http://materialsmine.org/ns/FlexuralProperty,None,None,None,None,None
http://materialsmine.org/ns/FlightClearance,http://semanticscience.org/resource/Height,None,None,None,None,None
http://materialsmine.org/ns/FlightWidth,http://semanticscience.org/resource/Width,None,None,None,None,None
http://materialsmine.org/ns/FourierTransformInfraredSpectroscopy,http://semanticscience.org/resource/Measuring,None,None,None,None,None
http://materialsmine.org/ns/FourierTransformInfraredSpectroscopy,nc1dd680924f540ad8a0d60c28f9143d8b148,None,None,None,None,None
http://materialsmine.org/ns/FractureEnergy,http://materialsmine.org/ns/MechanicalProperty,None,None,None,None,None
http://materialsmine.org/ns/FractureToughnessProperty,http://materialsmine.org/ns/MechanicalProperty,None,None,None,None,None
http://materialsmine.org/ns/FrequencySweep,http://materialsmine.org/ns/MeasurementMethod,None,None,None,None,None
http://materialsmine.org/ns/Geometry,http://semanticscience.org/resource/GeometricEntity,None,None,None,None,None
http://materialsmine.org/ns/GeometryEncoding,http://semanticscience.org/resource/InformationContentEntity,None,None,None,None,None
http://materialsmine.org/ns/GlassTransitionTemperature,http://materialsmine.org/ns/ThermalProperty,None,None,None,None,None
http://materialsmine.org/ns/GlassTransitionTemperature,obo:PATO_0000146,None,None,None,None,None
http://materialsmine.org/ns/GlassTransitionTemperature,nc1dd680924f540ad8a0d60c28f9143d8b149,None,None,None,None,None
http://materialsmine.org/ns/GraftDensity,http://semanticscience.org/resource/Density,None,None,None,None,None
http://materialsmine.org/ns/GroupVelocity,http://semanticscience.org/resource/Velocity,None,None,None,None,None
http://materialsmine.org/ns/GrowthRateOfCrystal,http://materialsmine.org/ns/Crystallinity,None,None,None,None,None
http://materialsmine.org/ns/GrowthRateParameterOfAvramiEquation,http://materialsmine.org/ns/Crystallinity,None,None,None,None,None
http://materialsmine.org/ns/HalflifeOfCrystallization,http://materialsmine.org/ns/Crystallinity,None,None,None,None,None
http://materialsmine.org/ns/Hardener,http://materialsmine.org/ns/Additive,None,None,None,None,None
http://materialsmine.org/ns/HardnessProperty,http://semanticscience.org/resource/Quantity,None,None,None,None,None
http://materialsmine.org/ns/HardnessScale,http://materialsmine.org/ns/HardnessProperty,None,None,None,None,None
